"Feeder_ID","Transformer_Capacity_kVA","Current_Load_kVA","Temperature_C","Historical_Growth_Percent"
"F-01","729","510.3","33.6","1.54"
"F-02","234","184.86","41.1","6.78"
"F-03","670","515.9","41.5","8.59"
"F-04","447","312.9","45.7","7.27"
"F-05","454","331.42","45.4","6.5"
"F-06","227","147.55","41.7","8.15"
"F-07","907","653.04","41","4.14"
"F-08","680","598.4","46.1","6.49"
"F-09","895","635.45","48.4","8.13"
"F-10","651","553.35","31","3.38"
"F-11","820","639.6","49.2","9.44"
"F-12","605","538.45","44.2","1.58"
"F-13","801","664.83","33.3","1.92"
"F-14","539","512.05","41.8","2.73"
"F-15","475","384.75","43.4","2.67"
"F-16","371","359.87","37.3","4.77"
"F-17","861","559.65","38.7","4.97"
"F-18","906","661.38","40.2","4.72"
"F-19","257","154.2","36.3","6.39"
"F-20","216","200.88","40.2","2.84"
"F-21","703","534.28","37.1","6.61"
"F-22","674","492.02","46.5","1.52"
"F-23","787","653.21","32.4","9.29"
"F-24","299","215.28","40","6.66"
"F-25","557","490.16","35.4","4"
"F-26","536","487.76","37.5","6.79"
"F-27","449","309.81","44.6","5.5"
"F-28","367","330.3","37.4","4.47"
"F-29","977","810.91","39.3","10"
"F-30","982","854.34","31.8","1.13"
"F-31","778","614.62","39.4","9.84"
"F-32","826","768.18","48.2","2.48"
"F-33","471","447.45","44.7","3.85"
"F-34","834","558.78","40.7","7.67"
"F-35","326","273.84","30.4","9.26"
"F-36","627","551.76","30.1","6.6"
"F-37","935","878.9","44.5","9.85"
"F-38","308","212.52","49.9","6.32"
"F-39","514","375.22","31.9","8.84"
"F-40","662","522.98","47.2","6.36"
